timestamp,ip_address,user_id,location,operating_system,ip_reputation,device_fingerprint_change,latitude,longitude,time_since_last_login,login_frequency_per_user,login_frequency_in_window,avg_login_interval,is_typical_hour,historical_ip_usage_count,unique_locations_per_ip,distance_from_last_login,suspicious
2025-08-12 07:21:00,197.89.207.232,user11,IN,MacOS,34,0,39.9042,116.4074,0.6114945181854007,1,0,69.31542560838311,0.16101001407023577,1,5,6195.262411702036,1
2025-08-12 06:22:00,198.158.174.47,user30,FR,Linux,82,0,48.8566,2.3522,2.3904505376135257,14,2,2.1039843208742566,0.711179491193767,75,1,41.75812704672649,0
2025-08-12 15:44:00,202.70.217.37,user45,CN,Windows,10,1,39.9042,116.4074,0.8739043144864158,1,2,67.5375284427267,0.08205025727954363,3,6,8932.682390468857,1
2025-08-12 21:44:00,185.244.137.60,user23,CA,Linux,86,0,48.8566,2.3522,2.3250371702768797,7,6,2.3501232342094043,0.9390084186724655,100,1,32.77294682414993,0
2025-08-12 15:29:00,26.46.202.83,user46,IN,Android,15,0,39.9042,116.4074,0.7085478467926603,3,0,26.64860041574278,0.22282226042184083,3,2,3444.545283086122,1
2025-08-12 20:21:00,186.155.41.124,user1,IN,MacOS,22,1,39.9042,116.4074,0.7369268514554509,1,2,56.2790544945167,0.14363007519439408,2,4,8455.34923440776,1
2025-08-12 05:04:00,92.218.222.80,user10,BR,Android,12,0,39.9042,116.4074,0.827050359155449,2,0,24.446722701541887,0.1649377321759122,3,3,7766.201938509433,1
2025-08-12 15:26:00,190.153.128.252,user16,US,MacOS,81,0,37.7749,-122.4194,2.1833562199495513,17,10,3.5476531093237123,0.8609284772653236,34,1,0.29107466701777107,0
2025-08-12 08:05:00,205.207.229.66,user30,UK,Windows,90,0,48.8566,2.3522,2.911913328582773,15,3,4.25427153531394,0.7069861397377275,38,1,7.10048133721069,0
2025-08-12 21:10:00,196.113.130.197,user14,IN,Linux,38,0,39.9042,116.4074,0.9124404261667761,1,0,40.4921211956803,0.2144399415958188,1,4,8791.471592430047,1
2025-08-12 07:10:00,126.190.100.57,user37,IN,iOS,20,0,39.9042,116.4074,0.7970909307393875,2,0,63.26639490925547,0.06977805289162181,0,3,2265.338409361253,1
2025-08-12 18:20:00,45.35.134.192,user34,CN,iOS,31,0,39.9042,116.4074,0.9647676972902587,1,0,55.242550907410376,0.06232549020907047,0,6,3360.751863728682,1
2025-08-12 05:22:00,80.50.15.181,user23,RU,Linux,27,0,55.7558,37.6173,0.33186814377259644,2,2,68.18675286295067,0.22369384480604937,1,6,6167.931255695575,1
2025-08-12 04:41:00,60.20.101.2,user45,FR,MacOS,93,0,48.8566,2.3522,5.390417701600627,9,10,2.427891741766645,0.8136318447197806,100,1,22.775055466447743,0
2025-08-12 14:08:00,234.192.193.249,user24,FR,MacOS,78,0,48.8566,2.3522,3.6621620927408323,8,3,2.1371114138323417,0.8423251906660156,78,1,9.023246554787168,0
2025-08-12 19:38:00,37.183.93.233,user40,CN,Windows,20,1,39.9042,116.4074,0.9327503307606742,1,2,46.63009949104525,0.10332278178579955,0,6,2817.9936244056257,1
2025-08-12 23:33:00,243.136.58.109,user18,DE,Linux,71,0,48.8566,2.3522,3.1572812244707635,6,10,1.412072726388676,0.7595857288761099,55,1,20.71365472952654,0
2025-08-12 18:42:00,190.152.192.63,user8,IN,Android,19,1,39.9042,116.4074,0.549640910115413,3,2,43.8206184076135,0.07208828424232398,3,6,9756.220286917984,1
2025-08-12 00:12:00,67.98.130.81,user28,CA,Linux,97,0,48.8566,2.3522,3.109434880260637,5,5,4.401071582276952,0.8293906447797772,82,1,35.493632573531045,0
2025-08-12 06:37:00,107.226.224.80,user35,CA,MacOS,75,0,48.8566,2.3522,1.0036003894312298,7,9,1.606030570763929,0.9111946578109937,90,1,44.00640096234635,0
2025-08-12 04:22:00,118.79.40.28,user16,BR,MacOS,5,1,39.9042,116.4074,0.5514135472888425,3,1,20.358254430185703,0.26599732106060253,3,3,3602.158593755006,1
2025-08-12 07:57:00,210.114.176.244,user11,UK,Windows,72,0,48.8566,2.3522,1.0142262023573951,15,2,2.091272622458554,0.9608531089219592,42,1,43.96619643779142,0
2025-08-12 18:47:00,87.103.143.176,user4,US,MacOS,71,0,37.7749,-122.4194,5.695144252998819,13,7,4.847982374044005,0.9613109858774265,69,1,42.17128650099869,0
2025-08-12 08:44:00,206.183.118.123,user27,CN,MacOS,12,0,39.9042,116.4074,0.17332699282729636,3,2,41.26703838529244,0.18940698495499794,0,6,8522.562274211876,1
